SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
CSAFBS,K_ED_COM_COLL_AFTER_BS,When took courses at a community college: After receiving bachelor's,CG0: N/A/CGN: D04.5/CGNR: N/A,(If Yes) Did you take courses at a community college during any of the following time periods? (Response to: Any time after receiving your first bachelor's degree),Took course at community college,$YES_NO_CODES
CSAFY,K_ED_COM_COLL_AFTER_COLL,When took courses at a community college: After leaving college without receiving bachelor's,CG0: N/A/CGN: D04.4/CGNR: N/A,(If Yes) Did you take courses at a community college during any of the following time periods? (Response to: After leaving a 4-year college or university without receiving your first bachelor's degree),Took course at community college,$YES_NO_CODES
CSAHS,K_ED_COM_COLL_AFTER_HS,When took courses at a community college: After high school before ever enrolling in college,CG0: N/A/CGN: D04.2/CGNR: N/A,(If Yes) Did you take courses at a community college during any of the following time periods? (Response to: After high school and before ever enrolling in a 4-year college or university),Took course at community college,$YES_NO_CODES
CSHS,K_ED_COM_COLL_IN_HS,When took courses at a community college: Before graduating high school or earning high school equivalency,CG0: N/A/CGN: D04.1/CGNR: N/A,(If Yes) Did you take courses at a community college during any of the following time periods? (Response to: Before graduating from high school or earning a high school equivalency certificate),Took course at community college,$YES_NO_CODES
CSWFY,K_ED_COM_COLL_B4_BS,When took courses at a community college: While enrolled in college and before receiving bachelor's,CG0: N/A/CGN: D04.3/CGNR: N/A,(If Yes) Did you take courses at a community college during any of the following time periods? (Response to: While enrolled in a 4-year college or university and before receiving your first bachelor's degree),Took course at community college,$YES_NO_CODES
CTZDUAL,V_DEM_DUAL_CITIZEN,Dual citizenship indicator,CG0: E12/CGN: E17/CGNR: E12,Are you a citizen of more than one country?,All respondents,$YES_NO_CODES
CTZFOR,V_DEM_NON_US_CITIZEN,Visa type for non-US citizens,CG0: E09/CGN: E10/CGNR: E09,(If Non-U.S. citizen) Were you a non-U.S. citizen... (Response to: permanent/temporary visa type),Non-U.S. citizens,$NON_US_CITIZEN_CODES
CTZN,V_DEM_CITIZENSHIP_STATUS,Citizenship or visa status,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$CITIZENSHIP_CODES
CTZUS,V_DEM_US_CITIZENSHIP_STATUS,Type of US citizen,CG0: E08/CGN: E09/CGNR: E08,Were you a U.S. citizen...,U.S. citizens,$US_CITIZEN_CODES
CTZUSIN,V_DEM_CITIZENSHIP_US_CITIZEN,U.S. citizenship status,CG0: E07/CGN: E08/CGNR: F07,"On February 1, 2023 were you a... (Response to: US or Non-US citizen)",All respondents,$CTZUSIN
D23YR,P_ED_2ND_HD_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of second highest degree (3 year intervals),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,THREE_YEAR_GROUP_CODES_2023_
D25YR,P_ED_2ND_HD_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of second highest degree (5 year intervals),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,FIVE_YEAR_GROUP_CODES_2020_
D2ADV,P_ED_2ND_DEGREE_REAS_ADVANCEMT,Reason for obtaining this degree: increase advancement opportunities,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,"For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents with two or more degrees,$YES_NO_CODES
D2AYR,P_ED_2ND_HD_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for second highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,NUMERIC_FOUR
D2CAR,P_ED_2ND_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining this degree: further education before career,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'To gain further education before beginning a career'),All respondents with two or more degrees,$YES_NO_CODES
D2CHG,P_ED_2ND_DEGREE_REAS_CHG_FLD,Reason for obtaining this degree: change academic/occupational field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'To change your academic or occupational field'),All respondents with two or more degrees,$YES_NO_CODES
D2CRN21C,P_ED_2ND_HD_SCHOOL_CARNEGIE_CLS_2021,Carnegie classification  for school awarding second highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least two degrees,$CARN21C
D2DG,P_ED_2ND_HD_DEGREE_TYPE,Second highest degree type,CG0: SYSTEM/CGN: D11.D2.C/CGNR: SYSTEM,What type of degree did you earn?,All respondents with two or more degrees,$DEGREE_CODES
