SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D5AYR,S_ED_5TH_HD_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for fifth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,NUMERIC_FOUR
D5CAR,S_ED_5TH_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining this degree: further education before career,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'To gain further education before beginning a career'),All respondents with five or more degrees,$YES_NO_CODES
D5CHG,S_ED_5TH_DEGREE_REAS_CHG_FLD,Reason for obtaining this degree: change academic/occupational field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'To change your academic or occupational field'),All respondents with five or more degrees,$YES_NO_CODES
D5CRN21C,S_ED_5TH_HD_SCHOOL_CARNEGIE_CLS_2021,Carnegie classification  for school awarding fifth highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least five degrees,$CARN21C
D5DG,S_ED_5TH_HD_DEGREE_TYPE,Fifth highest degree type,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What type of degree did you earn?,All respondents with five or more degrees,$DEGREE_CODES
D5DGRUS,S_ED_5TH_HD_SCHOOL_REGION_US_NONUS,Location of school awarding fifth highest degree (U.S./Non-U.S.),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,$US_NONUS_CODES
D5EM,S_ED_5TH_DEGREE_REAS_EMPR_REQ,Reason for obtaining this degree: expected/required by employer,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'Required or expected by employer'),All respondents with five or more degrees,$YES_NO_CODES
D5GRD,S_ED_5TH_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining this degree: prepare for graduate school/further education,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'To prepare for graduate school or further education'),All respondents with five or more degrees,$YES_NO_CODES
D5INCD,S_ED_5TH_HD_SCHOOL_CODE,Institution code for school awarding fifth highest degree,RECODE,From which academic institution did you receive your 5th highest degree (institution code)?,All respondents with five or more degrees,$EDUCATION_INST_CODES
D5INT,S_ED_5TH_DEGREE_REAS_PERSONL,Reason for obtaining this degree: leisure/personal interest,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'For leisure or personal interest'),All respondents with five or more degrees,$YES_NO_CODES
D5LIC,S_ED_5TH_DEGREE_REAS_LICENSING,Reason for obtaining this degree: licensure/certification,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'For licensure or certification'),All respondents with five or more degrees,$YES_NO_CODES
D5MN,S_ED_5TH_HD_DEGREE_AWARD_MO,Month of award of fifth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what month was your 5th highest degree awarded?,All respondents with five or more degrees,MONTH_GROUP
D5OT,S_ED_5TH_DEGREE_REAS_OTHR,Reason for obtaining this degree: other,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 5th highest degree? (Response to: 'Other'),All respondents with five or more degrees,$YES_NO_CODES
D5PBP21C,S_ED_5TH_HD_SCHOOL_PUB_OR_PRIV_2021,Public/private  status of school awarding fifth highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least five degrees,$PUBLIC_PRIVATE_CODES
D5RGN,S_ED_5TH_HD_SCHOOL_REGION,Location of school awarding fifth highest degree (region code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,$REGION_CODES
D5SKL,S_ED_5TH_DEGREE_REAS_ACQ_SKILL,Reason for obtaining this degree: acquire further skills in field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain 5th highest degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents with five or more degrees,$YES_NO_CODES
D5ST_TOGA,S_ED_5TH_HD_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding fifth highest degree (state/country code),SYSTEM,Derived within SESTAT from reported information,All respondents with five or more degrees,$TOGALOCAT_CG
D5YR,S_ED_5TH_HD_DEGREE_AWARD_YR,Year of award of fifth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what year was your 5th highest degree awarded?,All respondents with five or more degrees,NUMERIC_FOUR
DGRDG,O_ED_HD_DEGREE_TYPE,Highest degree type,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What type of degree did you earn?,All respondents,$DEGREE_CODES
DGRYR,O_ED_HD_DEGREE_AWARD_YR,Year of award of highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what year was your highest degree awarded?,All respondents,N/A
DIFAGE,X_DEM_DISABLE_EARLIEST_AGE,Physical abilities: earliest age experienced difficulties,CG0: E18.1/CGN: E27.1/CGNR: E18.1,What is the earliest age at which you FIRST began experiencing ANY difficulties in ANY of these areas?,"Marked having slight or greater level of difficulty for seeing, hearing, walking, lifting, or cognition",NUMERIC_TWO
DIFAGEGR,X_DEM_DISABLE_EARLIEST_AGE_5_YR_GROUPING,Physical abilities: earliest age experienced difficulties (5 year intervals),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Marked having slight or greater level of difficulty for seeing, hearing, walking, lifting, or cognition",AGE_GROUP_CODES
DIFBIR,X_DEM_DISABLE_SINCE_BIRTH,Physical abilities: experienced difficulties since birth,CG0: E18.2/CGN: E27.2/CGNR: E18.2,What is the earliest age at which you FIRST began experiencing ANY difficulties in ANY of these areas? (Responded by checking Since Birth box),"Marked having slight or greater level of difficulty for seeing, hearing, walking, lifting, or cognition",$SINCE_BIRTH_CODES
DIFCOGN,X_DEM_DISABLE_COGNITION_SEVERITY,Physical abilities: degree of difficulty cognition,CG0: E16.5/CGN: E25.5/CGNR: E16.5,"What is the USUAL degree of difficulty you have with -- (Response to: CONCENTRATING, REMEMBERING, or MAKING DECISIONS because of a physical, mental, or emotional condition)",All respondents,$HANDICAP_CODES
DIFHEAR,X_DEM_DISABLE_HEARING_SEVERITY,Physical abilities: degree of difficulty hearing,CG0: E16.2/CGN: E25.2/CGNR: E16.2,"What is the USUAL degree of difficulty you have with -- (Response to: 'HEARING what is normally said in conversation with another person (with hearing aid, if you usually wear one)')",All respondents,$HANDICAP_CODES
DIFLIFT,X_DEM_DISABLE_LIFTING_SEVERITY,Physical abilities: degree of difficulty lifting,CG0: E16.4/CGN: E25.4/CGNR: E16.4,"What is the USUAL degree of difficulty you have with -- (Response to: LIFTING or carrying something as heavy as 10 pounds, such as a bag of groceries)",All respondents,$HANDICAP_CODES
DIFNO,X_DEM_DISABLE_NONE_IND,No difficulty with physical activities,CG0: E17/CGN: E26/CGNR: E17,What is the USUAL degree of difficulty you have with -- (Responded by checking NONE box),All respondents,$NO_HANDICAP_CODES
DIFSEE,X_DEM_DISABLE_SEEING_SEVERITY,Physical abilities: degree of difficulty seeing,CG0: E16.1/CGN: E25.1/CGNR: E16.1,"What is the USUAL degree of difficulty you have with -- (Response to: 'SEEING words or letters in ordinary newsprint (with glasses/contact lenses, if you usually wear them)')",All respondents,$HANDICAP_CODES
DIFWALK,X_DEM_DISABLE_WALKING_SEVERITY,Physical abilities: degree of difficulty walking,CG0: E16.3/CGN: E25.3/CGNR: E16.3,What is the USUAL degree of difficulty you have with -- (Response to: WALKING without human or mechanical assistance or using stairs),All respondents,$HANDICAP_CODES
EARN,H_JOB_TOTAL_INCOME,Total earned income before deductions in previous year,CG0: A44/CGN: A44/CGNR: A44,"Counting all jobs held in 2020, what was your total earned income for 2020, before deductions?",Worked during calendar year 2020,NUMERIC_DOLLAR_SEVEN
EDDAD,W_DEM_PARENT_FATHERS_ED_LEVEL,Father's education level,CG0: SYSTEM/CGN: E06.2/CGNR: SYSTEM,What is the highest level of education completed by your parents or guardians? (Response for Father or male guardian),All respondents,$EDUCATION_LEVEL_CODES
EDMOM,W_DEM_PARENT_MOTHERS_ED_LEVEL,Mother's education level,CG0: SYSTEM/CGN: E06.1/CGNR: SYSTEM,What is the highest level of education completed by your parents or guardians? (Response for Mother or female guardian),All respondents,$EDUCATION_LEVEL_CODES
EDTP,E_JOB_EMPLR_EDUC_INST_TYPE,Type of educational institution employer,CG0: A15/CGN: A15/CGNR: A15,Was the educational institution where you worked a...,"Working during the week of February 1, 2023 and employer is an educational institution",$EDUCATION_INSTITUTION_CODES_R2_
EMED,E_JOB_EMPLR_EDUC_INST_IND,Indicator for educational institution employer,CG0: A14/CGN: A14/CGNR: A14,Was your principal employer an educational institution?,"Working during the week of February 1, 2023",$YES_NO_CODES
EMRG,E_JOB_EMPLR_LOC_REGION,Region code for employer,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$REGION_CODES
EMSECDT,E_JOB_EMPLR_SECTOR_CD,Employer sector (detailed codes),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$EMP_SECTOR_DET_CODES
EMSECSM,E_JOB_EMPLR_SECTOR_CD_SUMRY,Employer sector (summary codes),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$EMP_SECTOR_SUM_CODES
EMSIZE,E_JOB_EMPLR_SIZE,Employer size,CG0: A11/CGN: A11/CGNR: A11,"Counting all locations where this employer operates, how many people worked for your principal employer? Your best estimate is fine.","Working during the week of February 1, 2023",$EMPLOYER_SIZE_R1_
EMSMI,D_JOB_SAME_EMPLOYER_JOB,"Employment status (same job/employer?), current and previous reference weeks",CG0: B02/CGN: B02/CGNR: B02,"During these two time periods - the week of February 1, 2021, and the week of February 1, 2023 -- were you working for?","Working during the weeks of February 1, 2021 and February 1, 2023",$SAME_DIFFERENT_CODES
EMST_TOGA,E_JOB_EMPLR_ST_CTRY_CD_TOGA,State/country  code for employer,SYSTEM,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$TOGALOCAT_CG
EMTP,E_JOB_EMPLR_TYPE,Employer type (taking into account educational institutions),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$EMP_TYPE_CODE
EMUS,E_JOB_EMPLR_LOC_REGION_US_NONUS,Employer location (U.S./Non-U.S.),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$US_NONUS_CODES
FACADV,F_JOB_IMPORTANCE_ADVANCEMENT,Importance of job's opportunities for advancement,CG0: C06.5/CGN: C06.5/CGNR: C06.5,"When thinking about a job, how important is each of the following factors to you?.(Response to: Opportunities for advancement).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACBEN,F_JOB_IMPORTANCE_BENEFITS,Importance of job's benefits,CG0: C06.2/CGN: C06.2/CGNR: C06.2,"When thinking about a job, how important is each of the following factors to you?.(Response to: Benefits).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACCHAL,F_JOB_IMPORTANCE_CHALLENGE,Importance of job's intellectual challenge,CG0: C06.6/CGN: C06.6/CGNR: C06.6,"When thinking about a job, how important is each of the following factors to you?.(Response to: Intellectual challenge).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACIND,F_JOB_IMPORTANCE_INDEPENDENCE,Importance of job's degree of independence,CG0: C06.8/CGN: C06.8/CGNR: C06.8,"When thinking about a job, how important is each of the following factors to you?.(Response to: Degree of independence).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACLOC,F_JOB_IMPORTANCE_LOCATION,Importance of job's location,CG0: C06.4/CGN: C06.4/CGNR: C06.4,"When thinking about a job, how important is each of the following factors to you?.(Response to: Job location).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACRESP,F_JOB_IMPORTANCE_RESPONSIBILITY,Importance of job's level of responsibility,CG0: C06.7/CGN: C06.7/CGNR: C06.7,"When thinking about a job, how important is each of the following factors to you?.(Response to: Level of responsibility).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSAL,F_JOB_IMPORTANCE_SALARY,Importance of job's salary,CG0: C06.1/CGN: C06.1/CGNR: C06.1,"When thinking about a job, how important is each of the following factors to you?.(Response to: Salary).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSEC,F_JOB_IMPORTANCE_SECURITY,Importance of job's security,CG0: C06.3/CGN: C06.3/CGNR: C06.3,"When thinking about a job, how important is each of the following factors to you?.(Response to: Job security).","All respondents, except for those who never worked",$IMPORTANT_CODES
FACSOC,F_JOB_IMPORTANCE_SOCIETY,Importance of job's contribution to society,CG0: C06.9/CGN: C06.9/CGNR: C06.9,"When thinking about a job, how important is each of the following factors to you?.(Response to: Contribution to society).","All respondents, except for those who never worked",$IMPORTANT_CODES
FILIPINO,U_DEM_RACE_FILIPINO,Filipino racial background indicator,SYSTEM,Derived within SESTAT from reported information,All respondents,$MARK_ALL_CODES
FNCCD_TOGA,V_DEM_CITIZENSHIP_CNTRY_CD_TOGA,Country of foreign citizenship (country code),SYSTEM,Of which country are you a citizen?,Non-U.S. citizens,$TOGALOCAT_CG
FNCRGN,V_DEM_CITIZENSHIP_CNTRY_REGION,Country of citizenship (region code),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,Non-U.S. citizens,$REGION_CODES
FNINUS,V_LIVE_WORK_IN_US_ON_REF_DATE,Living in U.S. during reference week,CG0: E06/CGN: E07/CGNR: F06,"On February 1, 2023, were you living in the United States, Puerto Rico, or another U.S. territory?",All respondents,$YES_NO_CODES
FNUSYR6,V_DEM_FIRST_CAME_US_SIX_MONTHS_OR_LONGER,The year first came to U.S. for 6 months or longer,CG0: SYSTEM/CGN: E13.YY/CGNR: SYSTEM,In what year did you first come to the United States for six months or longer?,Non-U.S. citizens,FNUSYR6_
FNVSATP,V_DEM_FIRST_CAME_VISA_TYPE,Type of visa held when first came to U.S.,CG0: SYSTEM/CGN: E14/CGNR: SYSTEM,What kind of visa did you hold when you first came to the United States for six months or longer?,Non-U.S. born citizens,$RESIDENT_CODES
FSDED,I_JOB_GOV_AGCY_SUPP_EDUC,Federal agency supporting work: Education,CG0: A43.2/CGN: A43.2/CGNR: A43.2,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Dept of Education),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDK,I_JOB_GOV_AGCY_SUPPORT_DONT_KNOW,Federal agency supporting work: Agency Unknown,CG0: A43.9/CGN: A43.9/CGNR: A43.9,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Don't Know Source Agency),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDOD,I_JOB_GOV_AGCY_SUPP_DEFENSE,Federal agency supporting work: Defense,CG0: A43.1/CGN: A43.1/CGNR: A43.1,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Dept. of Defense (DOD)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSDOE,I_JOB_GOV_AGCY_SUPP_ENERGY,Federal agency supporting work: Energy,CG0: A43.3/CGN: A43.3/CGNR: A43.3,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Department of Energy (DOE)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSHHS,I_JOB_GOV_AGCY_SUPP_HHS,Federal agency supporting work: HHS,CG0: A43.5/CGN: A43.5/CGNR: A43.5,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Department of Health and Human Services (except NIH)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSNASA,I_JOB_GOV_AGCY_SUPP_NASA,Federal agency supporting work: NASA,CG0: A43.6/CGN: A43.6/CGNR: A43.6,Which U.S. Federal Government agencies or departments were supporting your work? (Marked National Aeronautics and Space Administration (NASA)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSNIH,I_JOB_GOV_AGCY_SUPP_NIH,Federal agency supporting work: NIH,CG0: A43.4/CGN: A43.4/CGNR: A43.4,Which U.S. Federal Government agencies or departments were supporting your work? (Marked National Institutes of Health (NIH)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSNSF,I_JOB_GOV_AGCY_SUPP_NSF,Federal agency supporting work: NSF,CG0: A43.7/CGN: A43.7/CGNR: A43.7,Which U.S. Federal Government agencies or departments were supporting your work? (Marked National Science Foundation (NSF)),Work on job supported by U.S. government,$MARK_ALL_CODES
FSOT,I_JOB_GOV_AGCY_SUPP_OTHR,Federal agency supporting work: Other,CG0: A43.8/CGN: A43.8/CGNR: A43.8,Which U.S. Federal Government agencies or departments were supporting your work? (Marked Other),Work on job supported by U.S. government,$MARK_ALL_CODES
FTPRET,B_JOB_RETIRED_PREVLY_IND,Previously retired,CG0: A08/CGN: A08/CGNR: A08,"Although you were working during the week of February 1, 2023, had you previously retired from any position?","Working full-time during week of February 1, 2023",$YES_NO_CODES
FTPRTYR,B_JOB_RETIRED_PREVLY_YR,Year previously retired,CG0: A08.YY/CGN: A08.YY/CGNR: A08.YY,"Although you were working during the week of February 1, 2023, had you previously retired from any position? (Marked Yes and entered year retired)","PREVIOUSLY RETIRED and working full-time during week of February 1, 2023",NUMERIC_FOUR
GOVSUP,I_JOB_GOV_AGCY_SUPPORT_IND,Federal government support indicator,CG0: A42/CGN: A42/CGNR: A42,"Thinking back now to 2020, was any of your work during 2020 supported by contracts or grants from the U.S. Federal Government?",All respondents,$YES_NO_CODES
GRFAST,N_ED_GR_FINAN_SUPP_WRK_STUDY,Financial support for graduate degree(s): assistantships or work study,CG0: D08.GR.8/CGN: D12.GR.8/CGNR: D08.GR.8,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Assistantships or work study)",All respondents,$YES_NO_CODES
GRFEM,N_ED_GR_FINAN_SUPP_EMPR,Financial support for graduate degree(s): employer,CG0: D08.GR.3/CGN: D12.GR.3/CGNR: D08.GR.3,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Financial assistance from your employer)",All respondents,$YES_NO_CODES
GRFERN,N_ED_GR_FINAN_SUPP_EARNINGS,Financial support for graduate degree(s): earnings,CG0: D08.GR.9/CGN: D12.GR.9/CGNR: D08.GR.9,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Earnings from employment)",All respondents,$YES_NO_CODES
GRFGFT,N_ED_GR_FINAN_SUPP_GIFTS,"Financial support for graduate degree(s): parents/relatives, not to be repaid",CG0: D08.GR.2/CGN: D12.GR.2/CGNR: D08.GR.2,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Financial assistance from parents, spouse, other relatives, not to be repaid)",All respondents,$YES_NO_CODES
GRFGRN,N_ED_GR_FINAN_SUPP_GRANTS,"Financial support for graduate degree(s): tuition waivers, fellowships, grants and scholarships",CG0: D08.GR.7/CGN: D12.GR.7/CGNR: D08.GR.7,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Tuition waivers, fellowships, grants, scholarships)",All respondents,$YES_NO_CODES
GRFLN,N_ED_GR_FINAN_SUPP_LOANS,"Financial support for graduate degree(s): Loans from school, banks, and government",CG0: D08.GR.6/CGN: D12.GR.6/CGNR: D08.GR.6,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Loans from the school you attended, banks, federal or state government)",All respondents,$YES_NO_CODES
GRFNODG,N_ED_GR_FINAN_SUPP_NO_DEGREE,Financial support for graduate degree(s): did not earn a degree at this level,CG0: D08.GR.1/CGN: D12.GR.1/CGNR: D08.GR.1,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Did not earn a degree at this level)",All respondents,$YES_NO_CODES
GRFOT,N_ED_GR_FINAN_SUPP_OTHR,Financial support for graduate degree(s): other,CG0: D08.GR.11/CGN: D12.GR.11/CGNR: D08.GR.11,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Other)",All respondents,$YES_NO_CODES
GRFPLN,N_ED_GR_FINAN_SUPP_LOANS_PARENT,Financial support for graduate degree(s): Loans from parents or other relatives,CG0: D08.GR.5/CGN: D12.GR.5/CGNR: D08.GR.5,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Loans from parents or other relatives, to be repaid)",All respondents,$YES_NO_CODES
GRFSAV,N_ED_GR_FINAN_SUPP_LOANS_SAVINGS,Financial support for graduate degree(s): Personal savings,CG0: D08.GR.10/CGN: D12.GR.10/CGNR: D08.GR.10,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Personal savings)",All respondents,$YES_NO_CODES
GRFVET,N_ED_GR_FINAN_SUPP_LOANS_VET,Financial support for graduate degree(s): Financial assistance from Veterans Educational Assistance Act (G.I. Bill),CG0: D08.GR.4/CGN: D12.GR.4/CGNR: D08.GR.4,"How did you finance any undergraduate or graduate degrees you completed before February 1, 2023 (Response to: Graduate- Financial assistance from the Veterans Educational Assistance Act (i.e., the G.I. Bill))",All respondents,$YES_NO_CODES
GRLOANR,N_ED_GR_FINAN_SUPP_BORROWED_RANGE_AMT,Amount borrowed to finance GRADUATE degree(s),CG0: D09.GR.BR/CGN: D13.GR.BR/CGNR: D09.GR.BR,Completed Graduate Degrees- Total amount borrowed,All respondents,$AMOUNT_BORROW_OWE_2D
GROWER,N_ED_GR_FINAN_SUPP_BORROWED_RANGE_BAL,Amount still owed from financing of GRADUATE degree(s),CG0: D09.GR.OW/CGN: D13.GR.OW/CGNR: D09.GR.OW,"Completed Graduate Degrees- Amount still owed as of February 1, 2023",All respondents,$AMOUNT_BORROW_OWE_2D
HAWAIIAN,U_DEM_RACE_HAWAIIAN,Hawaiian racial background indicator,SYSTEM,Derived within SESTAT from reported information,All respondents,$MARK_ALL_CODES
HCAPIN,X_DEM_DISABLE_IND,Physical disabilities indicator: any moderate or higher level of difficulty,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
HDACY3,O_ED_HD_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of highest degree (3 year intervals),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,THREE_YEAR_GROUP_CODES_2023_
HDACYR,O_ED_HD_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,N/A
HDADV,O_ED_HD_DEGREE_REAS_ADVANCEMT,Reason for obtaining this degree: increase advancement opportunities,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,"For which of the following reasons did you obtain your highest degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents,$YES_NO_CODES
HDAY5,O_ED_HD_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of highest degree (5 year intervals),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,FIVE_YEAR_GROUP_CODES_2020_
HDCAR,O_ED_HD_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining this degree: further education before career,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'To gain further education before beginning a career'),All respondents,$YES_NO_CODES
HDCHG,O_ED_HD_DEGREE_REAS_CHG_FLD,Reason for obtaining this degree: change academic/occupational field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'To change your academic or occupational field'),All respondents,$YES_NO_CODES
HDCRN21C,O_ED_HD_SCHOOL_CARNEGIE_CLS_2021,Carnegie classification  for school awarding highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents,$CARN21C
HDDGRUS,O_ED_HD_SCHOOL_REGION_US_NONUS,Location of school awarding highest degree (U.S./Non-U.S.),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$US_NONUS_CODES
HDEM,O_ED_HD_DEGREE_REAS_EMPR_REQ,Reason for obtaining this degree: expected/required by employer,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'Required or expected by employer'),All respondents,$YES_NO_CODES
HDGRD,O_ED_HD_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining this degree: prepare for graduate school/further education,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'To prepare for graduate school or further education'),All respondents,$YES_NO_CODES
HDINCD,O_ED_HD_SCHOOL_CODE,Institution code for school awarding highest degree,CGO: SYSTEM/CGN: SYSTEM,Data item developed by survey contractors using available administrative data.,All respondents,$EDUCATION_INST_CODES
HDINT,O_ED_HD_DEGREE_REAS_PERSONL,Reason for obtaining this degree: leisure/personal interest,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'For leisure or personal interest'),All respondents,$YES_NO_CODES
HDLIC,O_ED_HD_DEGREE_REAS_LICENSING,Reason for obtaining this degree: licensure/certification,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'For licensure or certification'),All respondents,$YES_NO_CODES
HDMN,O_ED_HD_DEGREE_AWARD_MO,Month of award of highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,In what month was your highest degree awarded?,All respondents,MONTH_GROUP
HDOT,O_ED_HD_DEGREE_REAS_OTHR,Reason for obtaining this degree: other,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'Other'),All respondents,$YES_NO_CODES
HDPBP21C,O_ED_HD_SCHOOL_PUB_OR_PRIV_2021,Public/private status of school awarding highest degree - 2021 Carnegie code,E20.1,How do you currently describe yourself? Mark all that apply.,All respondents,$PUBLIC_PRIVATE_CODES
HDRGN,O_ED_HD_SCHOOL_REGION,Location of school awarding highest degree (region code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$REGION_CODES
HDSKL,O_ED_HD_DEGREE_REAS_ACQ_SKILL,Reason for obtaining this degree: acquire further skills in field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your highest degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents,$YES_NO_CODES
HDST_TOGA,O_ED_HD_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding highest degree (state/country  code),SYSTEM,Derived within SESTAT from reported information,All respondents,$TOGALOCAT_CG
HISPANIC,U_DEM_RACE_HISPANIC_ORIGIN_INDICATOR,New Hispanic origin indicator,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
HISPCAT0,U_DEM_HISPANIC_NO,"Not of Hispanic, Latino, or Spanish origin",CG0: E20.0/CGN: E20.0/CGNR: E20.0,"Are you of Hispanic, Latino, or Spanish origin? No, not of Hispanic, Latino, or Spanish origin",All respondents,$YES_NO_CODES
